Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-08-01 00:00,0.478,0.029,1,0,0,0,p
2018-08-01 00:06,0.452,0.036,0,0,0,0,p
2018-08-01 00:12,0.426,0.038,0,0,0,0,p
2018-08-01 00:18,0.417,0.034,1,0,0,0,p
2018-08-01 00:24,0.402,0.032,1,0,0,0,p
2018-08-01 00:30,0.387,0.038,1,0,0,0,p
2018-08-01 00:36,0.371,0.033,1,0,0,0,p
2018-08-01 00:42,0.349,0.046,1,0,0,0,p
2018-08-01 00:48,0.333,0.044,1,0,0,0,p
2018-08-01 00:54,0.321,0.036,1,0,0,0,p
2018-08-01 01:00,0.296,0.035,1,0,0,0,p
2018-08-01 01:06,0.285,0.031,1,0,0,0,p
2018-08-01 01:12,0.263,0.034,1,0,0,0,p
2018-08-01 01:18,0.235,0.032,1,0,0,0,p
2018-08-01 01:24,0.211,0.031,1,0,0,0,p
2018-08-01 01:30,0.182,0.037,1,0,0,0,p
2018-08-01 01:36,0.168,0.032,0,0,0,0,p
2018-08-01 01:42,0.130,0.041,0,0,0,0,p
2018-08-01 01:48,0.114,0.039,1,0,0,0,p
2018-08-01 01:54,0.093,0.042,0,0,0,0,p
2018-08-01 02:00,0.065,0.040,1,0,0,0,p
2018-08-01 02:06,0.058,0.034,1,0,0,0,p
2018-08-01 02:12,0.044,0.032,1,0,0,0,p
2018-08-01 02:18,0.016,0.037,1,0,0,0,p
2018-08-01 02:24,-0.002,0.036,1,0,0,0,p
2018-08-01 02:30,-0.035,0.034,1,0,0,0,p
2018-08-01 02:36,-0.060,0.031,1,0,0,0,p
2018-08-01 02:42,-0.074,0.032,1,0,0,0,p
2018-08-01 02:48,-0.084,0.044,1,0,0,0,p
2018-08-01 02:54,-0.107,0.039,1,0,0,0,p
2018-08-01 03:00,-0.125,0.034,0,0,0,0,p
2018-08-01 03:06,-0.146,0.039,1,0,0,0,p
2018-08-01 03:12,-0.159,0.034,1,0,0,0,p
2018-08-01 03:18,-0.166,0.035,1,0,0,0,p
2018-08-01 03:24,-0.179,0.038,1,0,0,0,p
2018-08-01 03:30,-0.189,0.038,1,0,0,0,p
2018-08-01 03:36,-0.207,0.036,0,0,0,0,p
2018-08-01 03:42,-0.207,0.033,1,0,0,0,p
2018-08-01 03:48,-0.221,0.035,0,0,0,0,p
2018-08-01 03:54,-0.226,0.032,1,0,0,0,p
2018-08-01 04:00,-0.235,0.033,0,0,0,0,p
2018-08-01 04:06,-0.236,0.035,1,0,0,0,p
2018-08-01 04:12,-0.245,0.031,1,0,0,0,p
2018-08-01 04:18,-0.259,0.038,0,0,0,0,p
2018-08-01 04:24,-0.256,0.027,1,0,0,0,p
2018-08-01 04:30,-0.258,0.032,0,0,0,0,p
2018-08-01 04:36,-0.258,0.031,1,0,0,0,p
2018-08-01 04:42,-0.260,0.030,0,0,0,0,p
2018-08-01 04:48,-0.261,0.036,1,0,0,0,p
2018-08-01 04:54,-0.267,0.031,0,0,0,0,p
2018-08-01 05:00,-0.271,0.029,1,0,0,0,p
2018-08-01 05:06,-0.271,0.031,0,0,0,0,p
2018-08-01 05:12,-0.264,0.029,0,0,0,0,p
2018-08-01 05:18,-0.257,0.030,1,0,0,0,p
2018-08-01 05:24,-0.273,0.033,1,0,0,0,p
2018-08-01 05:30,-0.259,0.024,0,0,0,0,p
2018-08-01 05:36,-0.250,0.036,1,0,0,0,p
2018-08-01 05:42,-0.241,0.028,0,0,0,0,p
2018-08-01 05:48,-0.237,0.023,1,0,0,0,p
2018-08-01 05:54,-0.234,0.029,1,0,0,0,p
2018-08-01 06:00,-0.218,0.028,1,0,0,0,p
2018-08-01 06:06,-0.212,0.029,0,0,0,0,p
2018-08-01 06:12,-0.203,0.027,1,0,0,0,p
2018-08-01 06:18,-0.181,0.034,1,0,0,0,p
2018-08-01 06:24,-0.183,0.026,0,0,0,0,p
2018-08-01 06:30,-0.170,0.030,1,0,0,0,p
2018-08-01 06:36,-0.146,0.036,1,0,0,0,p
2018-08-01 06:42,-0.136,0.033,1,0,0,0,p
2018-08-01 06:48,-0.128,0.032,1,0,0,0,p
2018-08-01 06:54,-0.105,0.030,1,0,0,0,p
2018-08-01 07:00,-0.094,0.029,1,0,0,0,p
2018-08-01 07:06,-0.080,0.025,1,0,0,0,p
2018-08-01 07:12,-0.053,0.031,0,0,0,0,p
2018-08-01 07:18,-0.045,0.026,1,0,0,0,p
2018-08-01 07:24,-0.018,0.027,1,0,0,0,p
2018-08-01 07:30,0.002,0.035,1,0,0,0,p
2018-08-01 07:36,0.021,0.033,1,0,0,0,p
2018-08-01 07:42,0.037,0.030,1,0,0,0,p
2018-08-01 07:48,0.065,0.029,1,0,0,0,p
2018-08-01 07:54,0.084,0.035,1,0,0,0,p
2018-08-01 08:00,0.096,0.035,1,0,0,0,p
2018-08-01 08:06,0.122,0.030,0,0,0,0,p
2018-08-01 08:12,0.134,0.033,1,0,0,0,p
2018-08-01 08:18,0.167,0.028,1,0,0,0,p
2018-08-01 08:24,0.175,0.032,1,0,0,0,p
2018-08-01 08:30,0.210,0.038,0,0,0,0,p
2018-08-01 08:36,0.226,0.034,1,0,0,0,p
2018-08-01 08:42,0.244,0.031,1,0,0,0,p
2018-08-01 08:48,0.259,0.034,1,0,0,0,p
2018-08-01 08:54,0.269,0.025,0,0,0,0,p
2018-08-01 09:00,0.298,0.035,1,0,0,0,p
2018-08-01 09:06,0.319,0.038,1,0,0,0,p
2018-08-01 09:12,0.335,0.044,1,0,0,0,p
2018-08-01 09:18,0.358,0.038,1,0,0,0,p
2018-08-01 09:24,0.367,0.038,1,0,0,0,p
2018-08-01 09:30,0.393,0.038,1,0,0,0,p
2018-08-01 09:36,0.403,0.039,0,0,0,0,p
2018-08-01 09:42,0.412,0.030,1,0,0,0,p
2018-08-01 09:48,0.424,0.030,1,0,0,0,p
2018-08-01 09:54,0.438,0.033,0,0,0,0,p
2018-08-01 10:00,0.443,0.026,1,0,0,0,p
2018-08-01 10:06,0.460,0.029,1,0,0,0,p
2018-08-01 10:12,0.472,0.031,0,0,0,0,p
2018-08-01 10:18,0.467,0.035,0,0,0,0,p
2018-08-01 10:24,0.474,0.034,1,0,0,0,p
2018-08-01 10:30,0.495,0.036,1,0,0,0,p
2018-08-01 10:36,0.497,0.037,1,0,0,0,p
2018-08-01 10:42,0.500,0.031,1,0,0,0,p
2018-08-01 10:48,0.487,0.034,1,0,0,0,p
2018-08-01 10:54,0.499,0.027,0,0,0,0,p
2018-08-01 11:00,0.502,0.032,1,0,0,0,p
2018-08-01 11:06,0.503,0.029,0,0,0,0,p
2018-08-01 11:12,0.500,0.027,1,0,0,0,p
2018-08-01 11:18,0.496,0.035,1,0,0,0,p
2018-08-01 11:24,0.501,0.026,1,0,0,0,p
2018-08-01 11:30,0.493,0.034,1,0,0,0,p
2018-08-01 11:36,0.488,0.034,0,0,0,0,p
2018-08-01 11:42,0.483,0.030,1,0,0,0,p
2018-08-01 11:48,0.480,0.033,1,0,0,0,p
2018-08-01 11:54,0.483,0.034,1,0,0,0,p
2018-08-01 12:00,0.461,0.030,1,0,0,0,p
2018-08-01 12:06,0.464,0.039,1,0,0,0,p
2018-08-01 12:12,0.437,0.029,1,0,0,0,p
2018-08-01 12:18,0.424,0.028,1,0,0,0,p
2018-08-01 12:24,0.424,0.030,0,0,0,0,p
2018-08-01 12:30,0.401,0.037,1,0,0,0,p
2018-08-01 12:36,0.396,0.037,1,0,0,0,p
2018-08-01 12:42,0.393,0.032,1,0,0,0,p
2018-08-01 12:48,0.385,0.033,1,0,0,0,p
2018-08-01 12:54,0.362,0.033,0,0,0,0,p
2018-08-01 13:00,0.344,0.024,1,0,0,0,p
2018-08-01 13:06,0.329,0.022,1,0,0,0,p
2018-08-01 13:12,0.315,0.030,0,0,0,0,p
2018-08-01 13:18,0.303,0.033,0,0,0,0,p
2018-08-01 13:24,0.286,0.026,1,0,0,0,p
2018-08-01 13:30,0.279,0.027,0,0,0,0,p
2018-08-01 13:36,0.257,0.024,0,0,0,0,p
2018-08-01 13:42,0.250,0.031,1,0,0,0,p
2018-08-01 13:48,0.234,0.028,1,0,0,0,p
2018-08-01 13:54,0.217,0.031,0,0,0,0,p
2018-08-01 14:00,0.194,0.032,0,0,0,0,p
2018-08-01 14:06,0.171,0.030,1,0,0,0,p
2018-08-01 14:12,0.142,0.030,1,0,0,0,p
2018-08-01 14:18,0.131,0.032,0,0,0,0,p
2018-08-01 14:24,0.120,0.027,1,0,0,0,p
2018-08-01 14:30,0.101,0.029,0,0,0,0,p
2018-08-01 14:36,0.087,0.024,0,0,0,0,p
2018-08-01 14:42,0.053,0.033,1,0,0,0,p
2018-08-01 14:48,0.030,0.031,1,0,0,0,p
2018-08-01 14:54,0.015,0.039,0,0,0,0,p
2018-08-01 15:00,0.001,0.032,1,0,0,0,p
2018-08-01 15:06,-0.021,0.034,0,0,0,0,p
2018-08-01 15:12,-0.041,0.034,0,0,0,0,p
2018-08-01 15:18,-0.065,0.033,1,0,0,0,p
2018-08-01 15:24,-0.077,0.032,1,0,0,0,p
2018-08-01 15:30,-0.090,0.035,1,0,0,0,p
2018-08-01 15:36,-0.114,0.033,1,0,0,0,p
2018-08-01 15:42,-0.128,0.030,1,0,0,0,p
2018-08-01 15:48,-0.131,0.029,1,0,0,0,p
2018-08-01 15:54,-0.145,0.027,1,0,0,0,p
2018-08-01 16:00,-0.155,0.029,1,0,0,0,p
2018-08-01 16:06,-0.174,0.032,1,0,0,0,p
2018-08-01 16:12,-0.182,0.029,0,0,0,0,p
2018-08-01 16:18,-0.190,0.026,1,0,0,0,p
2018-08-01 16:24,-0.201,0.028,1,0,0,0,p
2018-08-01 16:30,-0.209,0.022,1,0,0,0,p
2018-08-01 16:36,-0.213,0.030,0,0,0,0,p
2018-08-01 16:42,-0.214,0.027,1,0,0,0,p
2018-08-01 16:48,-0.215,0.025,1,0,0,0,p
2018-08-01 16:54,-0.201,0.026,0,0,0,0,p
2018-08-01 17:00,-0.207,0.031,1,0,0,0,p
2018-08-01 17:06,-0.210,0.025,1,0,0,0,p
